dataset,model,seed,scarcity_fraction,training_pool_size,retained_size,retained_negative,retained_positive,test_size,fit_seconds,roc_auc,precision,recall,f1,accuracy,average_precision
cleveland,logistic_regression,0,1,242,242,131,111,61,0.112777199996344,0.949134199134199,0.846153846153846,0.785714285714286,0.814814814814815,0.836065573770492,0.948167015183144
cleveland,random_forest,0,1,242,242,131,111,61,0.903353500005323,0.939393939393939,0.88,0.785714285714286,0.830188679245283,0.852459016393443,0.926437494755826
cleveland,logistic_regression,0,0.5,242,121,66,55,61,0.0415076999997835,0.954545454545455,0.866666666666667,0.928571428571429,0.896551724137931,0.901639344262295,0.935138173109768
cleveland,random_forest,0,0.5,242,121,66,55,61,0.849483600002714,0.958333333333333,0.884615384615385,0.821428571428571,0.851851851851852,0.868852459016393,0.94058292584291
cleveland,logistic_regression,0,0.25,242,61,33,28,61,0.0327255000011063,0.945887445887446,0.833333333333333,0.892857142857143,0.862068965517241,0.868852459016393,0.943446099160275
cleveland,random_forest,0,0.25,242,61,33,28,61,1.05999579999479,0.913419913419913,0.821428571428571,0.821428571428571,0.821428571428571,0.836065573770492,0.917143585915031
cleveland,logistic_regression,0,0.1,242,24,13,11,61,0.0367745000039576,0.847402597402597,0.714285714285714,0.714285714285714,0.714285714285714,0.737704918032787,0.833471218649612
cleveland,random_forest,0,0.1,242,24,13,11,61,0.799600300000748,0.862554112554113,0.782608695652174,0.642857142857143,0.705882352941177,0.754098360655738,0.836772046204487
cleveland,logistic_regression,0,0.05,242,12,6,6,61,0.0328729000029851,0.846320346320346,0.676470588235294,0.821428571428571,0.741935483870968,0.737704918032787,0.834708263400538
cleveland,random_forest,0,0.05,242,12,6,6,61,0.808322299999418,0.891774891774892,0.724137931034483,0.75,0.736842105263158,0.754098360655738,0.871865931133816
cleveland,logistic_regression,1,1,242,242,131,111,61,0.0345605999973485,0.9004329004329,0.846153846153846,0.785714285714286,0.814814814814815,0.836065573770492,0.889072756810249
cleveland,random_forest,1,1,242,242,131,111,61,1.04506080000283,0.892316017316017,0.814814814814815,0.785714285714286,0.8,0.819672131147541,0.886734072019263
cleveland,logistic_regression,1,0.5,242,121,66,55,61,0.0385991000002832,0.91017316017316,0.869565217391304,0.714285714285714,0.784313725490196,0.819672131147541,0.907993271848533
cleveland,random_forest,1,0.5,242,121,66,55,61,0.995191100002558,0.876623376623377,0.76,0.678571428571429,0.716981132075472,0.754098360655738,0.86669357934782
cleveland,logistic_regression,1,0.25,242,61,33,28,61,0.0344937999980174,0.884199134199134,0.869565217391304,0.714285714285714,0.784313725490196,0.819672131147541,0.879187108309076
cleveland,random_forest,1,0.25,242,61,33,28,61,0.932573799997044,0.867424242424242,0.807692307692308,0.75,0.777777777777778,0.80327868852459,0.851498938600325
cleveland,logistic_regression,1,0.1,242,24,13,11,61,0.0506802999952924,0.857142857142857,0.769230769230769,0.714285714285714,0.740740740740741,0.770491803278688,0.83404669993113
cleveland,random_forest,1,0.1,242,24,13,11,61,0.93102949999593,0.855519480519481,0.791666666666667,0.678571428571429,0.730769230769231,0.770491803278688,0.817771043178652
cleveland,logistic_regression,1,0.05,242,12,6,6,61,0.0379075000018928,0.898268398268398,0.875,0.75,0.807692307692308,0.836065573770492,0.889833328769875
cleveland,random_forest,1,0.05,242,12,6,6,61,1.05650349999632,0.853896103896104,0.8,0.714285714285714,0.754716981132076,0.786885245901639,0.81452110900116
cleveland,logistic_regression,2,1,242,242,131,111,61,0.05277510000451,0.886363636363636,0.846153846153846,0.785714285714286,0.814814814814815,0.836065573770492,0.900439268544478
cleveland,random_forest,2,1,242,242,131,111,61,1.18473269999959,0.891774891774892,0.88,0.785714285714286,0.830188679245283,0.852459016393443,0.895057052517283
cleveland,logistic_regression,2,0.5,242,121,66,55,61,0.0401564999992842,0.878787878787879,0.777777777777778,0.75,0.763636363636364,0.786885245901639,0.889992313648341
cleveland,random_forest,2,0.5,242,121,66,55,61,1.05702860000019,0.89448051948052,0.814814814814815,0.785714285714286,0.8,0.819672131147541,0.883898125602658
cleveland,logistic_regression,2,0.25,242,61,33,28,61,0.0347543000025324,0.883116883116883,0.777777777777778,0.75,0.763636363636364,0.786885245901639,0.884196162953055
cleveland,random_forest,2,0.25,242,61,33,28,61,0.917314300000726,0.909090909090909,0.869565217391304,0.714285714285714,0.784313725490196,0.819672131147541,0.902576641752945
cleveland,logistic_regression,2,0.1,242,24,13,11,61,0.0369346000006771,0.857142857142857,0.791666666666667,0.678571428571429,0.730769230769231,0.770491803278688,0.861147133909869
cleveland,random_forest,2,0.1,242,24,13,11,61,0.922391799998877,0.931277056277056,0.88,0.785714285714286,0.830188679245283,0.852459016393443,0.922167216374548
cleveland,logistic_regression,2,0.05,242,12,6,6,61,0.0387850000042817,0.841991341991342,0.7,0.75,0.724137931034483,0.737704918032787,0.849854616848944
cleveland,random_forest,2,0.05,242,12,6,6,61,0.85357379999914,0.918290043290043,0.742857142857143,0.928571428571429,0.825396825396825,0.819672131147541,0.913677731453629
cleveland,logistic_regression,3,1,242,242,131,111,61,0.0510505000056582,0.886363636363636,0.8,0.857142857142857,0.827586206896552,0.836065573770492,0.896898002705848
cleveland,random_forest,3,1,242,242,131,111,61,1.01314489999641,0.890692640692641,0.758620689655172,0.785714285714286,0.771929824561403,0.786885245901639,0.894431409725288
cleveland,logistic_regression,3,0.5,242,121,66,55,61,0.0412176999961956,0.874458874458874,0.821428571428571,0.821428571428571,0.821428571428571,0.836065573770492,0.889288321301558
cleveland,random_forest,3,0.5,242,121,66,55,61,1.24632510000083,0.892316017316017,0.821428571428571,0.821428571428571,0.821428571428571,0.836065573770492,0.896107738994207
cleveland,logistic_regression,3,0.25,242,61,33,28,61,0.0460984000019378,0.850649350649351,0.851851851851852,0.821428571428571,0.836363636363636,0.852459016393443,0.870370286328871
cleveland,random_forest,3,0.25,242,61,33,28,61,1.15045699999609,0.878246753246753,0.793103448275862,0.821428571428571,0.807017543859649,0.819672131147541,0.869530094415209
cleveland,logistic_regression,3,0.1,242,24,13,11,61,0.0564782000001287,0.885281385281385,0.785714285714286,0.785714285714286,0.785714285714286,0.80327868852459,0.891362335195009
cleveland,random_forest,3,0.1,242,24,13,11,61,1.28252069999871,0.848484848484849,0.769230769230769,0.714285714285714,0.740740740740741,0.770491803278688,0.848652037225548
cleveland,logistic_regression,3,0.05,242,12,6,6,61,0.0798347000018111,0.853896103896104,0.708333333333333,0.607142857142857,0.653846153846154,0.704918032786885,0.859062024028476
cleveland,random_forest,3,0.05,242,12,6,6,61,1.30314020000515,0.849025974025974,0.782608695652174,0.642857142857143,0.705882352941177,0.754098360655738,0.839495902352972
